tanggal,dropping
9/3/2020,4
9/7/2020,4
9/10/2020,5
9/14/2020,5
9/17/2020,3
9/21/2020,6
9/24/2020,4
9/28/2020,5
10/1/2020,5
10/5/2020,6
10/8/2020,6
10/12/2020,7
10/15/2020,4
10/19/2020,8
10/22/2020,3
10/26/2020,7
10/29/2020,4
11/2/2020,8
11/5/2020,5
11/9/2020,7
11/12/2020,6
11/16/2020,8
11/19/2020,7
11/23/2020,6
11/26/2020,8
11/30/2020,4
12/3/2020,9
12/7/2020,5
12/10/2020,7
12/14/2020,6
12/17/2020,8
12/21/2020,5
12/24/2020,9
12/28/2020,6
12/31/2020,8
1/4/2021,7
1/7/2021,9
1/11/2021,5
1/14/2021,10
1/18/2021,3
1/21/2021,11
1/25/2021,2
1/28/2021,10
2/1/2021,3
2/4/2021,11
2/8/2021,2
2/11/2021,12
2/15/2021,3
2/18/2021,13
2/22/2021,4
2/25/2021,12
3/1/2021,5
3/4/2021,13
3/8/2021,3
3/11/2021,14
3/15/2021,2
3/18/2021,15
3/22/2021,0
3/25/2021,16
3/29/2021,1
4/1/2021,15
4/5/2021,2
4/8/2021,13
4/12/2021,3
4/15/2021,12
4/19/2021,4
4/22/2021,13
4/26/2021,5
4/29/2021,12
5/3/2021,6
5/6/2021,13
5/10/2021,7
5/13/2021,11
5/17/2021,8
5/20/2021,12
5/24/2021,6
5/27/2021,13
5/31/2021,7
6/3/2021,14
6/7/2021,5
6/10/2021,15
6/14/2021,6
6/17/2021,16
6/21/2021,5
6/24/2021,17
6/28/2021,3
7/1/2021,18
7/5/2021,2
7/8/2021,19
7/12/2021,3
7/15/2021,20
7/19/2021,2
7/22/2021,21
7/26/2021,0
7/29/2021,22
8/2/2021,1
8/5/2021,23
8/9/2021,2
8/12/2021,21
8/16/2021,3
8/19/2021,22
8/23/2021,4
8/26/2021,21
8/30/2021,5
9/2/2021,22
9/6/2021,6
9/9/2021,23
9/13/2021,4
9/16/2021,24
9/20/2021,5
9/23/2021,23
9/27/2021,6
9/30/2021,24
10/4/2021,4
10/7/2021,25
10/11/2021,3
10/14/2021,26
10/18/2021,4
10/21/2021,27
10/25/2021,5
10/28/2021,28
11/1/2021,3
11/4/2021,29
11/8/2021,4
11/11/2021,30
11/15/2021,3
11/18/2021,31
11/22/2021,2
11/25/2021,32
11/29/2021,1
12/2/2021,33
12/6/2021,2
12/9/2021,34
12/13/2021,3
12/16/2021,35
12/20/2021,1
12/23/2021,36
12/27/2021,2
12/30/2021,34
1/3/2022,3
1/6/2022,35
1/10/2022,4
1/13/2022,36
1/17/2022,5
1/20/2022,34
1/24/2022,6
1/27/2022,33
1/31/2022,7
2/3/2022,34
2/7/2022,5
2/10/2022,35
2/14/2022,4
2/17/2022,36
2/21/2022,5
2/24/2022,35
2/28/2022,4
3/3/2022,36
